scenario,role,metric,curve_scope,source_file,n_samples_aggregated,central_n_valid,central_mean,central_std,central_min,central_q25,central_median,central_q75,central_max,central_iqr,central_abs_mean,central_abs_q95,central_abs_max,iqr_width_n_valid,iqr_width_mean,iqr_width_std,iqr_width_min,iqr_width_q25,iqr_width_median,iqr_width_q75,iqr_width_max,iqr_width_iqr,p10p90_width_n_valid,p10p90_width_mean,p10p90_width_std,p10p90_width_min,p10p90_width_q25,p10p90_width_median,p10p90_width_q75,p10p90_width_max,p10p90_width_iqr,ci95_width_n_valid,ci95_width_mean,ci95_width_std,ci95_width_min,ci95_width_q25,ci95_width_median,ci95_width_q75,ci95_width_max,ci95_width_iqr,n_runs_n_valid,n_runs_mean,n_runs_std,n_runs_min,n_runs_q25,n_runs_median,n_runs_q75,n_runs_max,n_runs_iqr
low,client,offset_ms,raw,offset_ms_aggregated.csv,100,100,-1.623371,1.245398,-2.9819,-2.70356,-2.206063,0.0,0.0,2.70356,1.623371,2.827765,2.9819,100,0.384985,0.408961,0.0,0.0,0.3378,0.681938,2.84755,0.681938,100,0.795407,0.716558,0.0,0.0,0.88284,1.3634,3.09882,1.3634,100,0.613227,0.535859,0.0,0.0,0.719785,1.02273,1.635009,1.02273,100,14.99,0.1,14.0,15.0,15.0,15.0,15.0,0.0
low,client,offset_ms,post_selected,offset_ms_aggregated_post_selected_rebuilt,63,63,-2.551707,0.260451,-2.994013,-2.721967,-2.661587,-2.293573,-2.12918,0.428393,2.551707,2.896411,2.994013,63,0.564742,0.226342,0.22985,0.3378,0.5375,0.7609,0.93345,0.4231,63,1.213783,0.417952,0.4919,0.89432,1.199,1.42636,2.33206,0.53204,63,0.86559,0.303025,0.251936,0.675883,0.800455,1.036365,1.493994,0.360482,63,14.936508,0.503953,11.0,15.0,15.0,15.0,15.0,0.0
low,client,jitter_ms,raw,jitter_ms_aggregated.csv,100,100,0.663406,0.518534,0.000133,0.000133,0.978213,1.078173,1.272473,1.07804,0.663406,1.235507,1.272473,100,0.40917,0.393642,0.0001,0.0001,0.41695,0.626925,1.26695,0.626825,100,0.916846,0.842634,0.0001,0.0001,0.79867,1.650155,2.41042,1.650055,100,0.537142,0.446755,5.4e-05,5.4e-05,0.737981,0.907657,1.256898,0.907603,100,14.99,0.1,14.0,15.0,15.0,15.0,15.0,0.0
low,client,jitter_ms,post_selected,jitter_ms_aggregated_post_selected_rebuilt,63,63,1.054105,0.105422,0.81684,1.016787,1.03898,1.10408,1.272473,0.087293,1.054105,1.268777,1.272473,63,0.645201,0.298077,0.1733,0.453875,0.5784,0.78005,1.26695,0.326175,63,1.456614,0.577142,0.6631,0.80048,1.35424,2.03818,2.41042,1.2377,63,0.779488,0.196469,0.287888,0.713086,0.76011,0.92272,1.148494,0.209634,63,14.936508,0.503953,11.0,15.0,15.0,15.0,15.0,0.0
low,client,delay_ms,raw,delay_ms_aggregated.csv,100,100,4.450934,3.441934,0.0,0.0,5.79413,7.38702,8.22138,7.38702,4.450934,8.01724,8.22138,100,0.98253,1.039888,0.0,0.0,0.88995,1.6097,7.74935,1.6097,100,1.87485,1.794715,0.0,0.0,1.74288,2.99346,8.304,2.99346,100,1.14289,1.051764,0.0,0.0,1.20816,1.764188,4.461297,1.764188,100,14.99,0.1,14.0,15.0,15.0,15.0,15.0,0.0
low,client,delay_ms,post_selected,delay_ms_aggregated_post_selected_rebuilt,63,63,6.995937,0.902582,5.671307,5.838373,7.160873,7.87406,8.22138,2.035687,6.995937,8.082621,8.22138,63,1.433245,0.475847,0.54375,0.88995,1.4176,1.9189,2.15475,1.02895,63,2.851475,1.216398,0.667,1.74288,2.89028,3.23158,5.49504,1.4887,63,1.590573,0.626513,0.514035,1.109152,1.472219,1.96992,2.929878,0.860768,63,14.936508,0.503953,11.0,15.0,15.0,15.0,15.0,0.0
low,boundary,offset_ms,raw,offset_ms_aggregated.csv,101,101,0.177559,0.136325,0.0,0.085907,0.150353,0.29092,0.45874,0.205013,0.177559,0.4347,0.45874,101,0.161718,0.129287,0.0,0.07925,0.12375,0.28205,0.45045,0.2028,101,0.300696,0.215642,0.0,0.13964,0.32886,0.44028,0.74866,0.30064,101,0.230075,0.259066,0.0,0.067191,0.157282,0.29714,0.937912,0.229949,101,14.851485,1.395608,1.0,15.0,15.0,15.0,15.0,0.0
low,boundary,offset_ms,post_selected,offset_ms_aggregated_post_selected_rebuilt,67,67,0.20359,0.106907,0.083353,0.1101,0.154233,0.292907,0.4347,0.182807,0.20359,0.418932,0.4347,67,0.191464,0.110978,0.0,0.0982,0.13345,0.28085,0.3983,0.18265,67,0.353243,0.163566,0.0,0.27924,0.33466,0.42764,0.71632,0.1484,67,0.253213,0.241685,0.0,0.113664,0.160706,0.312276,0.854965,0.198611,67,14.791045,1.710372,1.0,15.0,15.0,15.0,15.0,0.0
low,boundary,jitter_ms,raw,jitter_ms_aggregated.csv,101,101,0.323728,0.19905,0.0,0.27984,0.377447,0.493647,0.556843,0.213807,0.323728,0.555313,0.556843,101,0.157534,0.11554,0.0,5e-05,0.1687,0.2179,0.4087,0.21785,101,0.513405,0.372618,0.0,0.0001,0.57118,0.75188,1.19866,0.75178,101,0.353436,0.25467,0.0,5.1e-05,0.382942,0.531318,0.904867,0.531267,101,14.851485,1.395608,1.0,15.0,15.0,15.0,15.0,0.0
low,boundary,jitter_ms,post_selected,jitter_ms_aggregated_post_selected_rebuilt,67,67,0.444479,0.072941,0.3065,0.377447,0.443873,0.506813,0.55682,0.129367,0.444479,0.556448,0.55682,67,0.209213,0.081821,0.0,0.164575,0.2053,0.22585,0.4087,0.061275,67,0.726508,0.245065,0.0,0.57118,0.73446,0.80336,1.19866,0.23218,67,0.426138,0.16682,0.0,0.310393,0.35799,0.52193,0.826825,0.211537,67,14.791045,1.710372,1.0,15.0,15.0,15.0,15.0,0.0
low,boundary,delay_ms,raw,delay_ms_aggregated.csv,101,101,0.884798,0.582876,0.0,0.633453,0.765113,1.38024,1.788793,0.746787,0.884798,1.728767,1.788793,101,0.373594,0.310879,0.0,0.1822,0.3635,0.5128,1.2871,0.3306,101,0.782434,0.547638,0.0,0.39556,0.7462,1.24172,1.75212,0.84616,101,0.512963,0.51124,0.0,0.198615,0.327327,0.733473,1.843254,0.534858,101,14.851485,1.395608,1.0,15.0,15.0,15.0,15.0,0.0
low,boundary,delay_ms,post_selected,delay_ms_aggregated_post_selected_rebuilt,67,67,1.074183,0.419733,0.621293,0.7158,0.78414,1.465573,1.788793,0.749773,1.074183,1.770785,1.788793,67,0.418723,0.182535,0.0,0.2427,0.43095,0.5777,0.69035,0.335,67,0.930511,0.35446,0.0,0.71304,0.89012,1.23995,1.53696,0.52691,67,0.565821,0.461109,0.0,0.278027,0.362594,0.642367,1.676598,0.36434,67,14.791045,1.710372,1.0,15.0,15.0,15.0,15.0,0.0
